YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR,RH2M,T2M_MIN,WS10M_RANGE,Rainfall
2000,1,1,4.24,20.99,0,67.75,8.83,1.67,0
2000,1,2,4.4,21.54,0,64.31,6.56,2.23,0
2000,1,3,4.33,22.04,0,63.81,7.6,1.77,0
2000,1,4,4.34,21.4,0,66.88,8.34,1.77,0
2000,1,5,4.29,21.92,0,62.88,8.88,1.77,0
2000,1,6,4.17,22.08,0,64.75,9.15,1.74,0
2000,1,7,4.29,26.4,0,70,8.94,2.07,0
2000,1,8,4.06,20.33,0,71.88,7.18,1.88,0
2000,1,9,3.84,21.3,0,76.69,8.05,1.81,0
2000,1,10,3.76,20.53,0,74.38,7.64,2.01,0
2000,1,11,4.13,21.81,0,70.25,6.93,1.46,0
2000,1,12,4.35,21.88,0,73.75,7.89,1.55,0
2000,1,13,3.68,22.38,0,74.19,8.42,2.09,0
2000,1,14,3.74,23.67,0.01,74,10.77,1.35,0
2000,1,15,3.44,23.33,0.01,71.06,11.33,1.36,0
2000,1,16,3.95,23.66,0.01,71.31,9.33,2.12,0
2000,1,17,3.4,21.99,0,71.38,7.99,1.77,0
2000,1,18,4.67,22.48,0,73.12,7.18,2.41,0
2000,1,19,4.62,23.3,0,71.62,7.94,1.77,0
2000,1,20,1.96,21.69,0,69.31,9.2,1.58,0
2000,1,21,3.26,21.83,0.4,65.69,7.63,2.48,2.935205936
2000,1,22,4.13,23.47,0.7,72.06,9.08,1.77,0
2000,1,23,4.11,21.94,4.67,74.69,9.51,1.89,2.246941328
2000,1,24,4.11,22.19,0.97,76.38,9.55,1.94,0.419016242
2000,1,25,4.72,22.97,0,70.81,8.55,1.94,0
2000,1,26,4.85,22.69,0,68.12,8.3,1.99,0
2000,1,27,4.67,22.84,0,75.06,7.48,1.98,0
2000,1,28,4.55,22.4,0.04,68.38,8.78,1.89,0
2000,1,29,4.28,22.55,0.78,72.38,9.37,2.21,0
2000,1,30,4.94,21.47,0.01,71,8.45,2.37,3.066317081
2000,1,31,4.86,22.64,0,66.69,7.37,1.88,0
2000,2,1,4.78,23.98,0.04,66.88,7.54,1.98,0
2000,2,2,0.87,21.31,6.57,75.06,8.08,2.47,2.4032619
2000,2,3,4.48,22.75,0.05,77.38,10.72,1.59,2.381892443
2000,2,4,4.92,24.01,0.06,76.06,10.01,2.26,0
2000,2,5,3.74,23.94,0.42,69.62,8.56,1.81,0
2000,2,6,3.81,21.16,4.29,79.94,10.06,1.32,0
